Year,country,region,gdp,life,fertility,child_mortality
2000,EU_01,Europe,,78.36190360889015,1.8234903059556953,10.72024166295344
2001,EU_01,Europe,35687.31146303658,78.17658259767852,1.640079865290107,8.07049493886869
2002,EU_01,Europe,32153.551030670933,78.93801925517951,1.5191598541140614,7.125658275362618
2003,EU_01,Europe,35644.84239655054,77.73322586327906,1.564511354673407,5.050634017221138
2004,EU_01,Europe,34984.80694692783,80.26170575253504,1.622555537090138,4.23196728990389
2005,EU_01,Europe,,78.3016742590883,1.5050737945213197,6.132636596742584
2006,EU_01,Europe,35185.93077296772,78.29541829369467,1.5290167517367523,7.547506845987481
2007,EU_01,Europe,34186.90500422378,78.93255975887554,1.6229568736833593,2.137824094267542
2008,EU_01,Europe,32983.96621183797,79.20492057861824,1.4308983968032296,3.4643814230277608
2009,EU_01,Europe,36330.523819442584,79.78452356360889,1.5079014181240449,1.9174340258401426
2010,EU_01,Europe,35143.705085065565,77.61753499324605,1.460302179038321,3.1547729085524496
2000,EU_02,Europe,32391.434122535833,77.73541994717618,1.7310925572088953,5.241673337425349
2001,EU_02,Europe,,,1.6551136699215043,4.508070849434589
2002,EU_02,Europe,31495.431224278807,,1.5201057974887369,1.0
2003,EU_02,Europe,33958.279732130766,79.37486776987635,1.5828517856827924,2.9500525055890865
2004,EU_02,Europe,31106.240057366846,,1.5975242438498922,2.951808008450004
2005,EU_02,Europe,34570.88517299554,78.6265159083722,1.3390329870820397,1.077606915313886
2006,EU_02,Europe,31925.40866357573,78.79938901572032,1.5359534575320593,1.0
2007,EU_02,Europe,33059.58854654215,78.54267005964464,1.6268441189885403,1.0
2008,EU_02,Europe,31921.284123897727,78.00384834458896,1.5618447648253853,1.0
2009,EU_02,Europe,33593.820838944564,78.33258174371511,1.4763787993570625,1.0
2010,EU_02,Europe,32482.42646937788,78.2102888536048,1.4172439431586468,1.0
2000,EU_03,Europe,34891.14256021174,76.93997359042707,1.5733498571742275,3.0928226960421297
2001,EU_03,Europe,,78.24405862081147,1.7316618905932115,3.7581053191223166
2002,EU_03,Europe,35710.44167071053,78.71289472320025,1.4072653212724457,2.6564677867007322
2003,EU_03,Europe,,78.56557454241852,1.5253781413138794,2.348559613374976
2004,EU_03,Europe,34369.09348793048,,1.6121928436575708,2.2241381489047187
2005,EU_03,Europe,34908.02936216767,79.39637627952054,1.612990563371257,1.0
2006,EU_03,Europe,39707.79398307474,79.24220142627776,1.401524112485914,1.0
2007,EU_03,Europe,35816.897063185475,78.80499569756512,1.3367139440110785,1.0
2008,EU_03,Europe,37432.49919031255,77.69304061875138,1.367213079757665,1.0
2009,EU_03,Europe,36389.01827005127,78.02209104014125,1.4858483958859428,1.0
2010,EU_03,Europe,38982.82467578342,79.08280426708161,1.272168359731471,1.0
2000,EU_04,Europe,37009.122753404394,78.83380091871501,1.434496821395958,1.5583024749926349
2001,EU_04,Europe,37062.026289296125,77.68183463151962,1.4179031912321822,1.0
2002,EU_04,Europe,37574.3951249223,80.27763386424286,1.279153113592076,1.0
2003,EU_04,Europe,38194.2726491683,77.4871776828708,1.44714503968888,1.0
2004,EU_04,Europe,37782.81713395937,79.47523548234244,1.4002222061678469,1.0
2005,EU_04,Europe,36183.041497018385,78.31647123709524,1.2432962389982458,1.0
2006,EU_04,Europe,37975.37370577958,78.534757643684,1.316592657314689,1.0
2007,EU_04,Europe,39793.94685929059,78.67486124497601,1.2532848467092512,1.0
2008,EU_04,Europe,36477.909408930194,79.33752670086312,1.1687859935233988,1.0
2009,EU_04,Europe,38984.646484692756,78.53839656777227,1.2723164033341714,1.0
